Area,Year,Area harvested (ha),Production (t),Yield (kg/ha)
Australia and New Zealand,1980,1430,3500,2447.6
Australia and New Zealand,1981,1450,3250,2241.4
Australia and New Zealand,1982,1480,3450,2331.1
Australia and New Zealand,1983,1560,3600,2307.7
Australia and New Zealand,1984,1700,3700,2176.5
Australia and New Zealand,1985,1950,4000,2051.3
Australia and New Zealand,1986,2300,4900,2130.4
Australia and New Zealand,1987,2400,4500,1875
Australia and New Zealand,1988,2600,4900,1884.6
Australia and New Zealand,1989,2900,5000,1724.1
Australia and New Zealand,1990,3000,5000,1666.7
Australia and New Zealand,1991,3100,9000,2903.2
Australia and New Zealand,1992,3900,9500,2435.9
Australia and New Zealand,1993,4600,10000,2173.9
Australia and New Zealand,1994,4670,11000,2355.5
Australia and New Zealand,1995,4700,12500,2659.6
Australia and New Zealand,1996,4730,13000,2748.4
Australia and New Zealand,1997,4800,15000,3125
Australia and New Zealand,1998,4850,17500,3608.2
Australia and New Zealand,1999,5000,18000,3600
Australia and New Zealand,2000,5840,21000,3595.9
Australia and New Zealand,2001,2157,20100,9318.5
Australia and New Zealand,2002,2727,20600,7554.1
Australia and New Zealand,2003,3555,22200,6244.7
Australia and New Zealand,2004,5053,25300,5006.9
Australia and New Zealand,2005,5580,35600,6379.9
Australia and New Zealand,2006,6978,35000,5015.8
Australia and New Zealand,2007,9376,58500,6239.3
Australia and New Zealand,2008,12013,57400,4778.2
Australia and New Zealand,2009,17465,80400,4603.5
Australia and New Zealand,2010,23797,86100,3618.1
Australia and New Zealand,2011,25666,82900,3230
Australia and New Zealand,2012,26058,109200,4190.7
Australia and New Zealand,2013,28586,161600,5653.1
Australia and New Zealand,2014,28060,152470,5433.7
Australia and New Zealand,2015,28190,155300,5509
Australia and New Zealand,2016,28553,174660,6117
Australia and New Zealand,2017,29282,185980,6351.3
Australia and New Zealand,2018,31361,173000,5516.4
Australia and New Zealand,2019,37903,212000,5593.2
Australia and New Zealand,2020,47239,258000,5461.6
Australia and New Zealand,2021,51971,316000,6080.3
Australia and New Zealand,2022,56525,365000,6457.3
Australia and New Zealand,2023,40856,260000,6363.8
Central America,1961,0,0,
Central America,1962,0,0,
Central America,1963,0,0,
Central America,1964,0,0,
Central America,1965,0,0,
Central America,1966,0,0,
Central America,1967,0,0,
Central America,1968,0,0,
Central America,1969,0,0,
Central America,1970,0,0,
Central America,1971,0,0,
Central America,1972,0,0,
Central America,1973,0,0,
Central America,1974,0,0,
Central America,1975,0,0,
Central America,1976,0,0,
Central America,1977,0,0,
Central America,1978,0,0,
Central America,1979,0,0,
Central America,1980,419,1027,2451.1
Central America,1981,424,1512,3566
Central America,1982,430,1281,2979.1
Central America,1983,413,1432,3467.3
Central America,1984,22,14,636.4
Central America,1985,54,49,907.4
Central America,1986,370,499,1348.6
Central America,1987,21,16,761.9
Central America,1988,146,416,2849.3
Central America,1989,54,417,7722.2
Central America,1990,59,411,6966.1
Central America,1991,74,119,1608.1
Central America,1992,43,132,3069.8
Central America,1993,125,360,2880
Central America,1994,89,103,1157.3
Central America,1995,73,92,1260.3
Central America,1996,63,113,1793.7
Central America,1997,64,109,1703.1
Central America,1998,61,152,2491.8
Central America,1999,61,74,1213.1
Central America,2000,61,97,1590.2
Central America,2001,38,57,1500
Central America,2002,38,76,2000
Central America,2003,38,82,2157.9
Central America,2004,40,60,1500
Central America,2005,39,56.21,1436.5
Central America,2006,39,58.31,1504.7
Central America,2007,39,60.66,1547.5
Central America,2008,39,59.69,1513.4
Central America,2009,40,58.72,1479.4
Central America,2010,40,57.75,1445.3
Central America,2011,40,56.79,1412.1
Central America,2012,40,55.82,1412.2
Central America,2013,39,54.85,1412.4
Central America,2014,33,47.12,1424.7
Central America,2015,32,45.78,1434.9
Central America,2016,35,49.25,1423.2
Central America,2017,33,47.38,1427.4
Central America,2018,33,47.47,1428.4
Central America,2019,34,48.03,1426.3
Central America,2020,33,47.63,1427.4
Central America,2021,33,47.71,1427.3
Central America,2022,33,47.79,1427
Central America,2023,33,47.71,1427.2
Central Asia,1992,11400,13000,1140.4
Central Asia,1993,11528,11672.38,1012.5
Central Asia,1994,11934,11973.18,1003.3
Central Asia,1995,12668,13076.34,1032.3
Central Asia,1996,12893,13486.56,1046.1
Central Asia,1997,11484,11238.69,978.7
Central Asia,1998,13366,13244.92,991
Central Asia,1999,13500,14050.94,1040.8
Central Asia,2000,12483,15756.72,1262.3
Central Asia,2001,13585,18352.67,1351
Central Asia,2002,13307,20300,1525.5
Central Asia,2003,12471,21569.94,1729.5
Central Asia,2004,12545,24932.82,1987.5
Central Asia,2005,13572,26064.97,1920.5
Central Asia,2006,13642,29666.47,2174.7
Central Asia,2007,12845,24512.86,1908.4
Central Asia,2008,13061,24047.51,1841.1
Central Asia,2009,12971,23909.75,1843.3
Central Asia,2010,13304,23847.49,1792.5
Central Asia,2011,12812,23439.64,1829.5
Central Asia,2012,13655,21900,1603.8
Central Asia,2013,13815,26336.17,1906.3
Central Asia,2014,14800,29300,1979.7
Central Asia,2015,13357,33105.3,2478.6
Central Asia,2016,11069,24183.98,2184.8
Central Asia,2017,7794,10232.82,1313
Central Asia,2018,9193,25356.3,2758.2
Central Asia,2019,9461,27304.87,2885.9
Central Asia,2020,9682,37208.59,3843.1
Central Asia,2021,9241,33936.43,3672.4
Central Asia,2022,9185,36986.12,4026.8
Central Asia,2023,9327,34302.18,3677.8
Eastern Asia,1961,,5000,
Eastern Asia,1962,,5500,
Eastern Asia,1963,,5800,
Eastern Asia,1964,,6500,
Eastern Asia,1965,,7500,
Eastern Asia,1966,,8000,
Eastern Asia,1967,,7800,
Eastern Asia,1968,,8000,
Eastern Asia,1969,,8500,
Eastern Asia,1970,,7800,
Eastern Asia,1971,,8500,
Eastern Asia,1972,,8600,
Eastern Asia,1973,,9000,
Eastern Asia,1974,,10000,
Eastern Asia,1975,,10500,
Eastern Asia,1976,,9000,
Eastern Asia,1977,,10000,
Eastern Asia,1978,,11000,
Eastern Asia,1979,,12000,
Eastern Asia,1980,,12500,
Eastern Asia,1981,,10500,
Eastern Asia,1982,,11000,
Eastern Asia,1983,,12000,
Eastern Asia,1984,,12500,
Eastern Asia,1985,7700,13000,1688.3
Eastern Asia,1986,8300,14000,1686.7
Eastern Asia,1987,8900,15000,1685.4
Eastern Asia,1988,8600,14500,1686
Eastern Asia,1989,9400,16000,1702.1
Eastern Asia,1990,10000,17000,1700
Eastern Asia,1991,10500,18000,1714.3
Eastern Asia,1992,10900,18500,1697.2
Eastern Asia,1993,9849,17000,1726
Eastern Asia,1994,10329,18000,1742.7
Eastern Asia,1995,11000,19000,1727.3
Eastern Asia,1996,12094,22000,1819.1
Eastern Asia,1997,12000,23000,1916.7
Eastern Asia,1998,12500,20000,1600
Eastern Asia,1999,10500,22500,2142.9
Eastern Asia,2000,8000,17000,2125
Eastern Asia,2001,10000,20000,2000
Eastern Asia,2002,10591,22000,2077.2
Eastern Asia,2003,10785,23000,2132.7
Eastern Asia,2004,11000,24000,2181.8
Eastern Asia,2005,12000,25000,2083.3
Eastern Asia,2006,12014,28000,2330.7
Eastern Asia,2007,12239,30000,2451.2
Eastern Asia,2008,12327,32000,2596
Eastern Asia,2009,12500,35000,2800
Eastern Asia,2010,13000,38000,2923.1
Eastern Asia,2011,14000,42000,3000
Eastern Asia,2012,14500,43000,2965.5
Eastern Asia,2013,14500,43000,2965.5
Eastern Asia,2014,13994,42905.09,3066
Eastern Asia,2015,13493,43079.54,3192.7
Eastern Asia,2016,13194,43271.15,3279.7
Eastern Asia,2017,12881,86000,6676.3
Eastern Asia,2018,25355,86000,3391.8
Eastern Asia,2019,26110,90000,3446.9
Eastern Asia,2020,24975,88000,3523.6
Eastern Asia,2021,23558,84000,3565.7
Eastern Asia,2022,28697,104000,3624.1
Eastern Asia,2023,2716,10000,3682.5
Eastern Europe,1961,,4797,
Eastern Europe,1962,,6224,
Eastern Europe,1963,,5007,
Eastern Europe,1964,,5102,
Eastern Europe,1965,,5940,
Eastern Europe,1966,,5651,
Eastern Europe,1967,,7689,
Eastern Europe,1968,,7405,
Eastern Europe,1969,,7520,
Eastern Europe,1970,,8355,
Eastern Europe,1971,,7479,
Eastern Europe,1972,,7753,
Eastern Europe,1973,,8760,
Eastern Europe,1974,,7667,
Eastern Europe,1975,,8482,
Eastern Europe,1976,,10121,
Eastern Europe,1977,,10000,
Eastern Europe,1978,,9505,
Eastern Europe,1979,,9679,
Eastern Europe,1980,,9696,
Eastern Europe,1981,,11119,
Eastern Europe,1982,,8678,
Eastern Europe,1983,,10840,
Eastern Europe,1984,,11770,
Eastern Europe,1985,17285,12781,739.4
Eastern Europe,1986,21215,15930,750.9
Eastern Europe,1987,22775,16645,730.8
Eastern Europe,1988,23650,17524,741
Eastern Europe,1989,27000,19664,728.3
Eastern Europe,1990,27889,20527,736
Eastern Europe,1991,27750,20611,742.7
Eastern Europe,1992,5555,2321,417.8
Eastern Europe,1993,5719,2241.03,391.9
Eastern Europe,1994,5699,2170,380.8
Eastern Europe,1995,4590,1984,432.2
Eastern Europe,1996,6706,2083,310.6
Eastern Europe,1997,6726,2093.58,311.3
Eastern Europe,1998,7000,1831,261.6
Eastern Europe,1999,3200,1688,527.5
Eastern Europe,2000,2900,1604,553.1
Eastern Europe,2001,3404,1679,493.2
Eastern Europe,2002,4346,2110,485.5
Eastern Europe,2003,3659,1360,371.7
Eastern Europe,2004,2826,1398,494.7
Eastern Europe,2005,2508,1096,437
Eastern Europe,2006,2292,950,414.5
Eastern Europe,2007,2528,947,374.6
Eastern Europe,2008,2506,771,307.7
Eastern Europe,2009,1115,714,640.4
Eastern Europe,2010,1950,983,504.1
Eastern Europe,2011,1698,1385,815.7
Eastern Europe,2012,1333,993,744.9
Eastern Europe,2013,1173,1849,1576.3
Eastern Europe,2014,1162,1286,1106.7
Eastern Europe,2015,1137,1275.24,1121.9
Eastern Europe,2016,1553,1625.26,1046.2
Eastern Europe,2017,1514,1485.21,980.9
Eastern Europe,2018,1702,2057.15,1208.7
Eastern Europe,2019,1663,1489.34,895.6
Eastern Europe,2020,1632,1255.9,769.7
Eastern Europe,2021,2019,1670.8,827.6
Eastern Europe,2022,2278,2018.68,886.2
Eastern Europe,2023,1860,1621.79,872.2
Northern Africa,1961,98300,22400,227.9
Northern Africa,1962,111300,32000,287.5
Northern Africa,1963,98300,32600,331.6
Northern Africa,1964,134200,31100,231.7
Northern Africa,1965,133800,30100,225
Northern Africa,1966,152700,33332,218.3
Northern Africa,1967,122900,32122,261.4
Northern Africa,1968,190000,30485,160.4
Northern Africa,1969,105500,21635,205.1
Northern Africa,1970,193200,26787,138.6
Northern Africa,1971,192600,26630,138.3
Northern Africa,1972,198300,34262,172.8
Northern Africa,1973,201200,41992,208.7
Northern Africa,1974,204850,43612,212.9
Northern Africa,1975,209822,48432,230.8
Northern Africa,1976,221250,53295,240.9
Northern Africa,1977,215020,53356,248.1
Northern Africa,1978,213100,63467,297.8
Northern Africa,1979,217100,64131,295.4
Northern Africa,1980,233700,76175,326
Northern Africa,1981,274960,109930,399.8
Northern Africa,1982,265450,106570,401.5
Northern Africa,1983,359330,73783,205.3
Northern Africa,1984,408590,97538,238.7
Northern Africa,1985,295100,106451,360.7
Northern Africa,1986,310660,107810,347
Northern Africa,1987,326300,118723,363.8
Northern Africa,1988,337970,109746,324.7
Northern Africa,1989,340510,136108,399.7
Northern Africa,1990,339970,154703,455
Northern Africa,1991,341240,155768,456.5
Northern Africa,1992,362575,146814.15,404.9
Northern Africa,1993,358880,146685,408.7
Northern Africa,1994,370022,129490.87,350
Northern Africa,1995,374060,127569,341
Northern Africa,1996,378569,135996.41,359.2
Northern Africa,1997,385306,149650.34,388.4
Northern Africa,1998,385442,159252.13,413.2
Northern Africa,1999,407832,190906,468.1
Northern Africa,2000,418758,177627,424.2
Northern Africa,2001,419799,165519,394.3
Northern Africa,2002,415848,158677.66,381.6
Northern Africa,2003,342704,164499.02,480
Northern Africa,2004,359953,167185,464.5
Northern Africa,2005,417149,184508,442.3
Northern Africa,2006,398098,218673,549.3
Northern Africa,2007,417477,200047,479.2
Northern Africa,2008,396015,204923,517.5
Northern Africa,2009,418013,251093,600.7
Northern Africa,2010,412053,225577,547.4
Northern Africa,2011,436693,237852,544.7
Northern Africa,2012,450824,267554,593.5
Northern Africa,2013,454241,242450.27,533.7
Northern Africa,2014,454462,267986.56,589.7
Northern Africa,2015,443624,279282.44,629.5
Northern Africa,2016,460259,274353.61,596.1
Northern Africa,2017,488923,280473.3,573.7
Northern Africa,2018,489461,279952.62,572
Northern Africa,2019,510911,288017.44,563.7
Northern Africa,2020,482849,291957.76,604.7
Northern Africa,2021,500906,325303,649.4
Northern Africa,2022,521799,345911.39,662.9
Northern Africa,2023,529241,322458.62,609.3
Northern America,1961,36138,60237,1666.9
Northern America,1962,37676,43545,1155.8
Northern America,1963,39578,54159,1368.4
Northern America,1964,41196,68042,1651.7
Northern America,1965,47469,66133,1393.2
Northern America,1966,47874,77201,1612.6
Northern America,1967,50423,69490,1378.1
Northern America,1968,54672,67585,1236.2
Northern America,1969,60297,110676,1835.5
Northern America,1970,68760,112490,1636
Northern America,1971,76000,121563,1599.5
Northern America,1972,80490,113398,1408.8
Northern America,1973,86440,121563,1406.3
Northern America,1974,93560,171457,1832.6
Northern America,1975,100680,145149,1441.7
Northern America,1976,104370,211373,2025.2
Northern America,1977,111890,225888,2018.8
Northern America,1978,124520,129455,1039.6
Northern America,1979,131160,275511,2100.6
Northern America,1980,132250,239858,1813.7
Northern America,1981,132010,303361,2298
Northern America,1982,137190,257200,1874.8
Northern America,1983,145680,180000,1235.6
Northern America,1984,154180,439000,2847.3
Northern America,1985,165510,352000,2126.8
Northern America,1986,168350,189400,1125
Northern America,1987,168750,500000,2963
Northern America,1988,169560,446900,2635.6
Northern America,1989,166330,371200,2231.7
Northern America,1990,166330,499800,3004.9
Northern America,1991,163900,371200,2264.8
Northern America,1992,162280,412200,2540.1
Northern America,1993,167130,363800,2176.7
Northern America,1994,175230,530000,3024.6
Northern America,1995,169160,276000,1631.6
Northern America,1996,173200,385500,2225.8
Northern America,1997,181220,549000,3029.5
Northern America,1998,188600,393000,2083.8
Northern America,1999,196800,631000,3206.3
Northern America,2000,202340,533000,2634.2
Northern America,2001,214483,609178,2840.2
Northern America,2002,220554,800051,3627.5
Northern America,2003,222577,786262,3532.5
Northern America,2004,230671,785985,3407.4
Northern America,2005,234718,703431,2996.9
Northern America,2006,234718,846131,3604.9
Northern America,2007,259002,1212900,4683
Northern America,2008,275189,1410000,5123.8
Northern America,2009,291374,1162200,3988.7
Northern America,2010,311608,1413800,4537.1
Northern America,2011,323749,1841587,5688.3
Northern America,2012,331854,1655000,4987.1
Northern America,2013,343983,1732800,5037.5
Northern America,2014,352077,1545500,4389.7
Northern America,2015,372311,1436383,3858
Northern America,2016,392550,1617816,4121.3
Northern America,2017,416830,1716850,4118.8
Northern America,2018,441110,1721380,3902.4
Northern America,2019,477530,1913160,4006.4
Northern America,2020,505863,2345070,4635.8
Northern America,2021,530144,2204370,4158.1
Northern America,2022,546332,1869160,3421.3
Northern America,2023,558472,1791690,3208.2
Northern Europe,2018,0,0,
Northern Europe,2019,0,0,
Northern Europe,2020,0,0,
Northern Europe,2021,0,0,
Northern Europe,2022,0,0,
Northern Europe,2023,0,0,
Oceania,1980,1430,3500,2447.6
Oceania,1981,1450,3250,2241.4
Oceania,1982,1480,3450,2331.1
Oceania,1983,1560,3600,2307.7
Oceania,1984,1700,3700,2176.5
Oceania,1985,1950,4000,2051.3
Oceania,1986,2300,4900,2130.4
Oceania,1987,2400,4500,1875
Oceania,1988,2600,4900,1884.6
Oceania,1989,2900,5000,1724.1
Oceania,1990,3000,5000,1666.7
Oceania,1991,3100,9000,2903.2
Oceania,1992,3900,9500,2435.9
Oceania,1993,4600,10000,2173.9
Oceania,1994,4670,11000,2355.5
Oceania,1995,4700,12500,2659.6
Oceania,1996,4730,13000,2748.4
Oceania,1997,4800,15000,3125
Oceania,1998,4850,17500,3608.2
Oceania,1999,5000,18000,3600
Oceania,2000,5840,21000,3595.9
Oceania,2001,2157,20100,9318.5
Oceania,2002,2727,20600,7554.1
Oceania,2003,3555,22200,6244.7
Oceania,2004,5053,25300,5006.9
Oceania,2005,5580,35600,6379.9
Oceania,2006,6978,35000,5015.8
Oceania,2007,9376,58500,6239.3
Oceania,2008,12013,57400,4778.2
Oceania,2009,17465,80400,4603.5
Oceania,2010,23797,86100,3618.1
Oceania,2011,25666,82900,3230
Oceania,2012,26058,109200,4190.7
Oceania,2013,28586,161600,5653.1
Oceania,2014,28060,152470,5433.7
Oceania,2015,28190,155300,5509
Oceania,2016,28553,174660,6117
Oceania,2017,29282,185980,6351.3
Oceania,2018,31361,173000,5516.4
Oceania,2019,37903,212000,5593.2
Oceania,2020,47239,258000,5461.6
Oceania,2021,51971,316000,6080.3
Oceania,2022,56525,365000,6457.3
Oceania,2023,40856,260000,6363.8
South America,1961,,80,
South America,1962,,90,
South America,1963,,100,
South America,1964,,100,
South America,1965,,110,
South America,1966,,120,
South America,1967,,118,
South America,1968,,180,
South America,1969,,260,
